G1G48-1498-MONOMER	G1G48-1498	Q5LTE7	3-hydroxybutyryl-CoA dehydrogenase	
G1G48-314-MONOMER	G1G48-314	Q5LX91	molybdenum cofactor guanylyltransferase	
G1G48-3678-MONOMER	G1G48-3678	Q5LME1	zinc metalloprotease	
G1G48-2516-MONOMER	G1G48-2516		haloacid dehalogenase	
G1G48-2337-MONOMER	G1G48-2337	Q5LR32	hypothetical protein	
G1G48-4273-MONOMER	G1G48-4273	Q5LKS8	GntR family transcriptional regulator	
G1G48-1848-MONOMER	G1G48-1848	Q5LSF7	membrane protein	
G1G48-3403-MONOMER	G1G48-3403	Q5LN61	hypothetical protein	
G1G48-2729-MONOMER	G1G48-2729	Q5LQ13	prohead protease	
G1G48-2127-MONOMER	G1G48-2127	Q5LRN6	tRNA dihydrouridine synthase DusB	
G1G48-2245-MONOMER	G1G48-2245		hypothetical protein	
G1G48-1488-MONOMER	G1G48-1488	Q5LTF7	4-hydroxybenzoyl-CoA thioesterase	
G1G48-530-MONOMER	G1G48-530	Q5LW20	histidine phosphatase family protein	
G1G48-4379-MONOMER	G1G48-4379	Q5LKI0	2-aminobenzoate-CoA ligase	
G1G48-2006-MONOMER	G1G48-2006	Q5LS02	acyl-CoA dehydrogenase	
G1G48-1883-MONOMER	G1G48-1883	Q5LSC2	branched-chain amino acid ABC transporter substrate-binding protein	
G1G48-3450-MONOMER	G1G48-3450	Q5LN14	homocysteine S-methyltransferase	
G1G48-2529-MONOMER	G1G48-2529	Q5LQK2	3-hydroxyacyl-CoA dehydrogenase	
G1G48-4064-MONOMER	G1G48-4064	Q5LLD1	branched-chain amino acid ABC transporter, permease protein	
G1G48-1628-MONOMER	G1G48-1628	Q5LT18	dimethylsulfoniopropionate lyase	
G1G48-451-MONOMER	G1G48-451	Q5LW98	hypothetical protein	
G1G48-1755-MONOMER	G1G48-1755	Q5LSP6	C4-dicarboxylate ABC transporter permease	
G1G48-2296-MONOMER	G1G48-2296	Q5LR72	hypothetical protein	
G1G48-2517-MONOMER	G1G48-2517	Q5LQL4	enolase	
G1G48-935-MONOMER	G1G48-935	Q5LUX7	4-amino-4-deoxychorismate lyase	
G1G48-2512-MONOMER	G1G48-2512	Q5LQL9	nucleoside triphosphate pyrophosphohydrolase	
G1G48-732-MONOMER	G1G48-732	Q5LVH9	cob(I)yrinic acid a,c-diamide adenosyltransferase	
G1G48-2531-MONOMER	G1G48-2531		ornithine-acyl-ACP acyltransferase	
G1G48-2790-MONOMER	G1G48-2790	Q5LPV9	thymidylate kinase	
G1G48-487-MONOMER	G1G48-487		GNAT family N-acetyltransferase	
G1G48-1825-MONOMER	G1G48-1825	Q5LSH9	ABC transporter permease	
G1G48-2464-MONOMER	G1G48-2464	Q5LQR7	hypothetical protein	
G1G48-2028-MONOMER	G1G48-2028		hypothetical protein	
G1G48-2634-MONOMER	G1G48-2634		1-aminocyclopropane-1-carboxylate deaminase	
G1G48-2086-MONOMER	G1G48-2086	Q5LRS7	glucose-6-phosphate dehydrogenase	
G1G48-705-MONOMER	G1G48-705	Q5LVK5	hypothetical protein	
G1G48-695-MONOMER	G1G48-695	Q5LVL5	fumarylacetoacetase	
G1G48-3923-MONOMER	G1G48-3923		hypothetical protein	
G1G48-1177-MONOMER	G1G48-1177	Q5LU97	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	
G1G48-3962-MONOMER	G1G48-3962	Q5LLK5	cell envelope biogenesis protein OmpA	
G1G48-1334-MONOMER	G1G48-1334		amino acid ABC transporter	
G1G48-572-MONOMER	G1G48-572	Q5LVY0	trimethylamine methyltransferase	
G1G48-333-MONOMER	G1G48-333	Q5LXA8	acetyl-CoA acetyltransferase	
G1G48-3298-MONOMER	G1G48-3298	Q5LNF7	N-acetyltransferase	
G1G48-2591-MONOMER	G1G48-2591		NADPH:quinone oxidoreductase	
G1G48-589-MONOMER	G1G48-589	Q5LVW3	acyl-CoA dehydrogenase	
G1G48-115-MONOMER	G1G48-115	Q5LWR8	hypothetical protein	
G1G48-3935-MONOMER	G1G48-3935	Q5LLP8	thiol reductase thioredoxin	
G1G48-2739-MONOMER	G1G48-2739	Q5LQ03	hypothetical protein	
G1G48-4242-MONOMER	G1G48-4242	Q5LKV8	methylamine utilization protein MauG	
CPLX1G48-61			predicted ABC transporter of a C4-dicarboxylate	
G1G48-1409-MONOMER	G1G48-1409	Q5LTN5	aspartyl-tRNA amidotransferase subunit B	
G1G48-409-MONOMER	G1G48-409	Q5LWE0	ATPase AAA	
G1G48-175-MONOMER	G1G48-175	Q3V7J6	flagellar biosynthesis protein FliR	
G1G48-3854-MONOMER	G1G48-3854		hypothetical protein	
G1G48-2812-MONOMER	G1G48-2812	Q5LPT7	biotin--[acetyl-CoA-carboxylase] ligase	
G1G48-32-MONOMER	G1G48-32		hypothetical protein	
G1G48-933-MONOMER	G1G48-933	Q5LUX9	carbamoyl phosphate synthase large subunit	
G1G48-2289-MONOMER	G1G48-2289	Q5LR78	peptidase	
G1G48-4226-MONOMER	G1G48-4226	Q5LKX4	ABC transporter ATP-binding protein	
G1G48-1596-MONOMER	G1G48-1596	Q5LT50	MOFRL domain-containing protein	
G1G48-3642-MONOMER	G1G48-3642	Q5LMH7	2,4-dienoyl-CoA reductase	FadH
G1G48-3605-MONOMER	G1G48-3605		hypothetical protein	
G1G48-1053-MONOMER	G1G48-1053	Q5LUL2	hypothetical protein	
G1G48-2746-MONOMER	G1G48-2746		polyamine ABC transporter permease	
G1G48-1926-MONOMER	G1G48-1926	Q5LS78	phosphoribosylformylglycinamidine synthase subunit PurQ	
G1G48-3919-MONOMER	G1G48-3919	Q5LLR3	hypothetical protein	
G1G48-417-MONOMER	G1G48-417	Q5LWD2	molybdopterin biosynthesis protein	
G1G48-2700-MONOMER	G1G48-2700	Q5LQ42	orotate phosphoribosyltransferase	
G1G48-3240-MONOMER	G1G48-3240	Q5LNL3	peptidase M19	
G1G48-3176-MONOMER	G1G48-3176	Q5LNS7	sigma factor regulator PrtR	
G1G48-2964-MONOMER	G1G48-2964	Q5LPD2	hypothetical protein	
G1G48-243-MONOMER	G1G48-243	Q5LX33	glycerol-3-phosphate transporter membrane protein	
G1G48-2749-MONOMER	G1G48-2749	Q5LPZ3	3-keto-5-aminohexanoate cleavage protein	
G1G48-3787-MONOMER	G1G48-3787	Q5LM36	protease/lipase ABC transporter permease/ATP-binding protein	
G1G48-1828-MONOMER	G1G48-1828	Q5LSH6	excisionase	
G1G48-2563-MONOMER	G1G48-2563	Q5LQH0	SAM-dependent methyltransferase	
G1G48-3568-MONOMER	G1G48-3568	Q5LMQ0	50S ribosomal protein L1	
G1G48-2504-MONOMER	G1G48-2504	Q5LQM7	peptide chain release factor 1	
G1G48-2356-MONOMER	G1G48-2356	Q5LR13	anion permease	
G1G48-2847-MONOMER	G1G48-2847	Q5LPQ0	hypothetical protein	
G1G48-164-MONOMER	G1G48-164	Q5LWW1	RNA-splicing ligase RtcB	
G1G48-2990-MONOMER	G1G48-2990		hypothetical protein	
G1G48-3414-MONOMER	G1G48-3414	Q5LN50	DNA mismatch repair protein MutL	
G1G48-676-MONOMER	G1G48-676	Q5LVN4	enoyl-CoA hydratase	
G1G48-4317-MONOMER	G1G48-4317	Q5LKP1	tautomerase	
G1G48-200-MONOMER	G1G48-200	Q3V7J8	flagellar biosynthetic protein FliP	
G1G48-364-MONOMER	G1G48-364	Q5LXF1	VWA domain-containing protein	
G1G48-856-MONOMER	G1G48-856	Q5LV56	phosphopantetheinyl transferase	
G1G48-2679-MONOMER	G1G48-2679	Q5LQ62	sulfite reductase	
G1G48-964-MONOMER	G1G48-964	Q5LUU5	multidrug ABC transporter permease	
G1G48-1779-MONOMER	G1G48-1779	Q5LSM4	glutamate dehydrogenase	
G1G48-206-MONOMER	G1G48-206	Q5LX02	hypothetical protein	
G1G48-2212-MONOMER	G1G48-2212	Q5LRF5	MBL fold hydrolase	
G1G48-3654-MONOMER	G1G48-3654	Q5LMG5	50S ribosomal protein L20	
CPLX1G48-33			predicted ABC transporter of a peptide	
G1G48-3576-MONOMER	G1G48-3576	Q5LMP2	nitrogen fixation protein FixH	
G1G48-4414-MONOMER	G1G48-4414	Q5LKE4	haloacid dehalogenase	
G1G48-4007-MONOMER	G1G48-4007	Q5LLH7	TAT-dependent nitrous-oxide reductase	
G1G48-2891-MONOMER	G1G48-2891	Q5LPK7	aminopeptidase N	
G1G48-4419-MONOMER	G1G48-4419	Q5LKD8	hypothetical protein	
G1G48-2898-MONOMER	G1G48-2898	Q5LPJ9	BolA family transcriptional regulator	
G1G48-2648-MONOMER	G1G48-2648	Q5LQ92	N-formylglutamate amidohydrolase	
G1G48-1101-MONOMER	G1G48-1101		transcriptional regulator BetI	
G1G48-1609-MONOMER	G1G48-1609	Q5LT37	hypothetical protein	
G1G48-3810-MONOMER	G1G48-3810	Q5LM13	7-cyano-7-deazaguanine synthase	
G1G48-4150-MONOMER	G1G48-4150	Q5LL49	cytochrome c	
G1G48-3389-MONOMER	G1G48-3389	Q5LN75	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	
G1G48-141-MONOMER	G1G48-141	Q5LWS9	DUF58 domain-containing protein	
G1G48-1623-MONOMER	G1G48-1623	Q5LT23	silent information regulator protein Sir2	
G1G48-2277-MONOMER	G1G48-2277	Q5LR90	hypothetical protein	
G1G48-3755-MONOMER	G1G48-3755	Q5LM66	alpha/beta hydrolase	
G1G48-1888-MONOMER	G1G48-1888	Q5LSB7	branched-chain amino acid ABC transporter permease	
G1G48-1694-MONOMER	G1G48-1694		hypothetical protein	
G1G48-1141-MONOMER	G1G48-1141	Q5LUD3	proline--tRNA ligase	
CPLX1G48-38			predicted ABC transporter of an amino acid	
G1G48-2667-MONOMER	G1G48-2667		acetyltransferase	
G1G48-3673-MONOMER	G1G48-3673	Q5LME6	peptidoglycan-binding protein	
G1G48-1941-MONOMER	G1G48-1941	Q5LS63	hypothetical protein	
G1G48-4180-MONOMER	G1G48-4180	Q5LL20	oxidoreductase	
G1G48-3663-MONOMER	G1G48-3663	Q5LMF7	dipeptide epimerase	
G1G48-2523-MONOMER	G1G48-2523	Q5LQK9	hypothetical protein	
G1G48-1528-MONOMER	G1G48-1528	Q5LTB7	RND transporter	
G1G48-1706-MONOMER	G1G48-1706	Q5LSU0	N-acetyltransferase	
G1G48-1892-MONOMER	G1G48-1892	Q5LSB3	hypothetical protein	
G1G48-3827-MONOMER	G1G48-3827	Q5LLZ7	hypothetical protein	
G1G48-2895-MONOMER	G1G48-2895		hypothetical protein	
G1G48-1280-MONOMER	G1G48-1280		hypothetical protein	
G1G48-1795-MONOMER	G1G48-1795	Q5LSK7	hypothetical protein	
G1G48-1072-MONOMER	G1G48-1072		cell division protein ZipA	
G1G48-3976-MONOMER	G1G48-3976	Q5LLM4	hypothetical protein	
G1G48-399-MONOMER	G1G48-399	Q5LWF0	tryptophan--tRNA ligase	
G1G48-3945-MONOMER	G1G48-3945	Q5LLN9	hypothetical protein	
G1G48-2453-MONOMER	G1G48-2453	Q5LQS8	dihydroxy-acid dehydratase	
G1G48-2514-MONOMER	G1G48-2514	Q5LQL7	N-acetyltransferase	
G1G48-400-MONOMER	G1G48-400		rhomboid family intramembrane serine protease	
G1G48-2341-MONOMER	G1G48-2341		hypothetical protein	
G1G48-772-MONOMER	G1G48-772	Q5LVE0	GntR family transcriptional regulator	
G1G48-125-MONOMER	G1G48-125	Q5LWS8	YggT family protein	
G1G48-4023-MONOMER	G1G48-4023	Q5LLG1	aminotransferase	
G1G48-2768-MONOMER	G1G48-2768	Q5LPX5	hypothetical protein	
G1G48-915-MONOMER	G1G48-915	Q5LUZ7	hypothetical protein	
G1G48-805-MONOMER	G1G48-805	Q5LVA7	short-chain dehydrogenase	
G1G48-3624-MONOMER	G1G48-3624	Q5LMJ5	hypothetical protein	
G1G48-4404-MONOMER	G1G48-4404		transcriptional regulator	
G1G48-497-MONOMER	G1G48-497	Q5LW52	hypothetical protein	
G1G48-4193-MONOMER	G1G48-4193		cytochrome C556	
G1G48-3714-MONOMER	G1G48-3714		haloacid dehalogenase	
G1G48-3039-MONOMER	G1G48-3039	V5UZD8	heat-shock protein	
G1G48-3416-MONOMER	G1G48-3416	Q5LN48	zinc ABC transporter permease	
G1G48-4160-MONOMER	G1G48-4160	Q5LL39	cytochrome c oxidase, cbb3-type subunit I	
G1G48-82-MONOMER	G1G48-82	Q5LWN0	hypothetical protein	
G1G48-4318-MONOMER	G1G48-4318		hypothetical protein	
G1G48-1772-MONOMER	G1G48-1772	Q5LSN1	TetR family transcriptional regulator	
G1G48-1407-MONOMER	G1G48-1407	Q5LTN7	glycosyl transferase	
G1G48-2270-MONOMER	G1G48-2270	Q5LR98	hypothetical protein	
G1G48-1908-MONOMER	G1G48-1908		LysR family transcriptional regulator	
G1G48-826-MONOMER	G1G48-826	Q5LV86	lipid A 3-O-deacylase	
G1G48-1419-MONOMER	G1G48-1419	Q5LTM6	cation diffusion facilitator family transporter	
G1G48-44-MONOMER	G1G48-44	Q5LWJ5	molecular chaperone DnaJ	
G1G48-1413-MONOMER	G1G48-1413	Q5LTN2	hypothetical protein	
G1G48-1425-MONOMER	G1G48-1425	Q5LTM1	Rrf2 family transcriptional regulator	
G1G48-4202-MONOMER	G1G48-4202	Q5LKZ8	amino acid-binding protein	
G1G48-3080-MONOMER	G1G48-3080		ABC transporter ATP-binding protein	
G1G48-3022-MONOMER	G1G48-3022	Q5LP76	FAD-dependent oxidoreductase	
G1G48-2414-MONOMER	G1G48-2414	Q5LQW0	glyoxalase	
G1G48-722-MONOMER	G1G48-722	Q5LVI9	HPr kinase	
G1G48-73-MONOMER	G1G48-73	Q5LWM1	SAM-dependent methyltransferase	
G1G48-2661-MONOMER	G1G48-2661	Q5LQ80	tRNA guanosine(34) transglycosylase Tgt	
CPLX1G48-17			predicted ABC transporter of a branched-chain amino acid	
G1G48-2319-MONOMER	G1G48-2319	Q5LR49	30S ribosomal protein S18	
G1G48-2939-MONOMER	G1G48-2939		glucan biosynthesis glucosyltransferase H	
G1G48-1647-MONOMER	G1G48-1647	Q5LSZ9	Crp/Fnr family transcriptional regulator	
G1G48-452-MONOMER	G1G48-452	Q5LW97	transposase	
CPLX1G48-7			predicted ABC transporter of spermidine/putrescine	
G1G48-3303-MONOMER	G1G48-3303	Q5LNF2	30S ribosomal protein S16	
G1G48-2925-MONOMER	G1G48-2925	Q5LPH2	cobalt transporter	
G1G48-1476-MONOMER	G1G48-1476	Q5LTG9	short-chain dehydrogenase	
G1G48-669-MONOMER	G1G48-669	Q5LVP1	LysR family transcriptional regulator	
G1G48-3214-MONOMER	G1G48-3214	Q5LNN9	ATP synthase subunit alpha	
G1G48-197-MONOMER	G1G48-197	Q5LWZ4	flagellar hook-associated protein FlgK	
G1G48-99-MONOMER	G1G48-99	Q5LWP9	microcin C ABC transporter ATP-binding protein YejF	
G1G48-4130-MONOMER	G1G48-4130	Q5LL68	LysR family transcriptional regulator	
G1G48-8-MONOMER	G1G48-8	Q5LWF6	ribonuclease PH	
G1G48-4039-MONOMER	G1G48-4039	Q5LLE6	hypothetical protein	
G1G48-1579-MONOMER	G1G48-1579	Q5LT67	ABC transporter ATP-binding protein	
G1G48-2486-MONOMER	G1G48-2486	Q5LQP5	glycine/betaine ABC transporter	
G1G48-1736-MONOMER	G1G48-1736		hypothetical protein	
G1G48-2308-MONOMER	G1G48-2308	Q5LR60	beta-ketoacyl-[acyl-carrier-protein] synthase II	
G1G48-3323-MONOMER	G1G48-3323		hypothetical protein	
G1G48-296-MONOMER	G1G48-296	Q5LX71	molybdenum cofactor biosynthesis protein	
G1G48-880-MONOMER	G1G48-880	Q5LV32	LysR family transcriptional regulator	
G1G48-221-MONOMER	G1G48-221		hypothetical protein	
G1G48-3120-MONOMER	G1G48-3120	Q5LNY2	threonine synthase	
G1G48-1344-MONOMER	G1G48-1344	Q5LTU7	nitrile hydratase subunit beta	
G1G48-357-MONOMER	G1G48-357	Q5LXE0	anion permease	
G1G48-1125-MONOMER	G1G48-1125	Q5LUE8	hypothetical protein	
G1G48-376-MONOMER	G1G48-376	Q5LXF7	glycerol-3-phosphate O-acyltransferase	
G1G48-3548-MONOMER	G1G48-3548	Q5LMR8	glutathione S-transferase	
G1G48-1459-MONOMER	G1G48-1459	Q5LTI7	hypothetical protein	
G1G48-2077-MONOMER	G1G48-2077	Q5LRT5	IMP dehydrogenase	
G1G48-3647-MONOMER	G1G48-3647	Q5LMH2	transporter	
G1G48-2668-MONOMER	G1G48-2668	Q5LQ73	amino acid transporter LysE	
G1G48-2435-MONOMER	G1G48-2435	Q5LQU3	carbon monoxide dehydrogenase	
G1G48-3719-MONOMER	G1G48-3719	Q5LMA1	hypothetical protein	
G1G48-3400-MONOMER	G1G48-3400		hypothetical protein	
G1G48-1328-MONOMER	G1G48-1328	Q5LTW2	glutamine synthetase	
G1G48-3687-MONOMER	G1G48-3687	Q5LMD3	membrane protein	
G1G48-3381-MONOMER	G1G48-3381	Q5LN83	globin domain-containing protein	
G1G48-1724-MONOMER	G1G48-1724	Q5LSS1	methylhydantoinase	
G1G48-1665-MONOMER	G1G48-1665		hypothetical protein	
G1G48-4319-MONOMER	G1G48-4319	Q5LKN9	hypothetical protein	
G1G48-368-MONOMER	G1G48-368	Q5LXE7	succinate dehydrogenase iron-sulfur subunit	
G1G48-1879-MONOMER	G1G48-1879	Q5LSC6	GntR family transcriptional regulator	
G1G48-4065-MONOMER	G1G48-4065	Q5LLD0	branched-chain amino acid ABC transporter permease	
